dt,lat,lng,altitude,course,speed,status,ignition,charge,blocked,batterylevel,rssi,sequence,distance,totaldistance,motion,valid,enginehours,mcc,mnc,lac,cid,event,archive,alarm1status,otherstatus,alarm2status,alarm3status,enginestatus,iccid,sat
"2024-09-01 00:08:21",23.914527,90.317609,0,180,0,68,false,true,false,66,4,6,0,574203.83,false,1,78106,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,15
"2024-09-01 00:08:21",23.914527,90.317609,0,180,0,70,true,true,false,66,4,7,0,574203.83,false,1,78106,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,
"2024-09-01 00:08:22",23.914527,90.317609,0,180,0,70,true,true,false,66,4,8,0,574203.83,false,1,78107,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,15
"2024-09-01 00:08:22",23.914527,90.317609,0,180,0,70,true,true,false,66,4,9,0,574203.83,false,1,78107,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,
"2024-09-01 00:08:22",23.914527,90.317609,0,180,0,68,false,true,false,66,4,10,0,574203.83,false,1,78107,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,
"2024-09-01 00:14:01",23.914649,90.317769,0,230,0,68,false,true,false,66,4,11,0.021150315383392,574225,false,1,78107,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,15
"2024-09-01 00:14:01",23.914649,90.317769,0,230,0,70,true,true,false,66,4,12,0,574225,false,1,78107,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,
"2024-09-01 00:14:04",23.914649,90.317769,0,230,0,70,true,true,false,66,4,13,0,574225,false,1,78110,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,15
"2024-09-01 00:14:04",23.914649,90.317769,0,230,0,70,true,true,false,66,4,14,0,574225,false,1,78110,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,
"2024-09-01 00:14:04",23.914649,90.317769,0,230,0,68,false,true,false,66,4,25,0,574225,false,1,78110,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,
"2024-09-01 00:48:39",23.914731,90.317822,0,100,0,68,false,true,false,66,4,26,0.010576857467914,574235.62,false,1,78110,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,15
"2024-09-01 00:48:39",23.914731,90.317822,0,100,0,70,true,true,false,66,4,27,0,574235.62,false,1,78110,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,
"2024-09-01 00:48:40",23.914731,90.317822,0,100,0,70,true,true,false,66,4,28,0,574235.62,false,1,78111,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,15
"2024-09-01 00:48:40",23.914731,90.317822,0,100,0,68,false,true,false,66,4,29,0,574235.62,false,1,78111,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,
"2024-09-01 00:51:08",23.914731,90.317822,0,100,0,68,false,true,false,66,4,30,0,574235.62,false,1,78111,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,15
"2024-09-01 00:51:08",23.914731,90.317822,0,100,0,70,true,true,false,66,4,31,0,574235.62,false,1,78111,470,3,841,9541,3,false,117,64,213,95,1,8988039916543252027,
